type,prompt,completion,url
ResMed onesleeptest,How do I begin using my onesleeptest?,"Please follow these steps once you receive your onesleeptest.
The first thing you'll need to do once you've received your onesleeptest in the mail is download the NightOwl® companion app from Google Play or Apple App Store. The app will then guide you every step of the way from setup to sleeping with the test. ",https://www.resmed.com.au/knowledge-hub/how-do-i-begin-using-my-onesleeptest
ResMed onesleeptest,Do I have to use the home sleep test on consecutive nights?,"It is recommended to use the sleep test over 3 consecutive nights.
We recommend you complete the test over 3 consecutive nights, just in case you forget or misplace the sensor. If you can’t, that’s okay too. Just try and complete the 3 nights as soon as practically possible. ",https://www.resmed.com.au/knowledge-hub/do-i-have-to-use-the-home-sleep-test-on-consecutive-nights
ResMed onesleeptest,What’s included in the cost of onesleeptest?,"Find out what's included in your onesleeptest package.
 Your package includes a wireless NightOwl® sensor, finger wraps, an app activation code, a sleep report from an Australian sleep physician and a ResMed Sleep Coach* consult. That's a lot of value in one small package. 
*ResMed Sleep Coaches are sales and customer service representatives who have received training in sleep health. They can give general information about sleep health, sleep disorders and products that my help improve your sleep. They are not qualified health care professionals and cannot provide medical advice.",https://www.resmed.com.au/knowledge-hub/whats-included-in-the-cost-of-onesleeptest
ResMed onesleeptest,How do I find my activation code?,"The code is visible on the leaflet included in the pack.
 You'll find the activation code on the back of the included leaflet next to the barcodes. ",https://www.resmed.com.au/knowledge-hub/how-do-i-find-my-activation-code
ResMed onesleeptest,How do I dispose of the sensor once I'm finished?,"When disposing of the sensor, please follow your local regulations
 Your sensor contains electrical components. Please dispose of the sensor responsibly, following your local regulations. ",https://www.resmed.com.au/knowledge-hub/how-do-i-dispose-of-the-sensor-once-im-finished
ResMed onesleeptest,Do I need to take my results to a GP to validate my results?,"
 Our Australian sleep physicians will analyse your data and email your sleep report. But it’s a good idea to let your doctor take a look at your results too. ",https://www.resmed.com.au/knowledge-hub/do-i-need-to-take-my-results-to-a-gp-to-validate-my-results
Payment Methods,Are there any medical/ insurance rebates for therapy equipment?,"See here for local government rebate policies.
It all depends on where you live.
The NSW government provides a medical rebate of $0.16 per day or $0.32 per day if treatment is required for 24-hour usage. To apply for the rebate, customers should obtain the Application for the NSW Government Life Support Electricity Rebate form. This requires endorsement by your doctor.
The ACT government provides a Life Support rebate that includes therapy devices. The life support equipment must be prescribed by an ACT doctor for the treatment of a life–threatening condition.
The Victorian government provides a Life Support rebate and the Queensland government provides rebates via the Electricity Life Support Concession Scheme. However, in both of these states, therapy devices are not currently eligible. Western Australia and the Northern Territory do not have rebate schemes for therapy users.
The South Australian Energy Concession scheme is administered by the Department for Families and Communities.
In Tasmania an electricity supplier, Aurora Energy, provides a medical rebate of approx. $0.15 per day. To apply for the rebate, customers should obtain the application form for the Aurora Energy Life Support Electricity Rebate. This requires endorsement by your doctor.
These rebates can change without notice. We therefore recommend contacting your local govenment agency to confirm.",https://www.resmed.com.au/knowledge-hub/are-there-any-medical-rebates-for-therapy-equipment
Store information,Are there any ResMed stockists near me?,"To find out here where your closest ResMed store or authorised dealer is, simply click on the link below
To find a ResMed store near you, visit our 
https://www.resmed.com.au/store-finder
store finder
.",https://www.resmed.com.au/knowledge-hub/are-there-any-resmed-cpap-supplies-near-me
Payment Methods,What are your Interest-Free plans for CPAP machines and masks?,"Interest-free payment plans with ongoing replenishments delivered to you. You can own your own machine and mask with an initial fee of $99, plus 36 simple interest-free monthly payments.
There is no interest on your repayments and no hidden charges with our rent to buy plans. You will also receive replenishments such as masks, mask cushions and headgear, filters and much more throughout the 3 years. These items will be shipped directly to you at recommended intervals to help ensure your sleep therapy equipment is maintained at its optimal best. This means no surprise costs while using your CPAP therapy.
You can use your debit or credit card to purchase online now. Simply select Shop Now below, then on the product page select NEXT to see our 'Interest-Free' plan options:
RESMED AIRSENSE 10 AUTOSET MACHINE & MASK PLANS - 
https://shop.resmed.com.au/resmed-airsense-10-autoset-interest-free-payment-plan/
SHOP NOW
RESMED AIRSENSE 10 AUTOSET FOR HER MACHINE & MASK PLANS - 
https://shop.resmed.com.au/resmed-airsense-10-autoset-for-her-interest-free-payment-plan/
SHOP NOW
RESMED AIRMINI MACHINE & MASK PLANS - 
https://shop.resmed.com.au/resmed-airmini-interest-free-payment-plan/
SHOP NOW
 | 
https://shop.resmed.com.au/resmed-airmini-interest-free-payment-plan/
MORE INFO",https://www.resmed.com.au/knowledge-hub/what-are-your-interest-free-plans-for-cpap-machines-and-masks
Payment Methods,Why is buying ResMed products overseas or online not recommended?,"Please consider the following facts when purchasing outside of Australia/New Zealand either directly or via the internet.
Successful treatment is not just about ensuring that you have the ideal therapy device and mask. It’s also about receiving knowledgeable and reliable after-sales service that provides you with everything you need to get the best out of your treatment.
If you are thinking about purchasing ResMed products from outside Australia or New Zealand, either directly or via the internet, you should carefully consider the following facts.
ResMed authorised dealers are NOT AUTHORISED to sell to customers outside their own country, so you may not end up receiving a genuine ResMed product.
ResMed products are frequently customised to serve country-specific requirements.
The manufacturer's warranty and the servicing of products purchased overseas are not valid within Australia and New Zealand. If you purchase overseas and there is a problem, you must send your equipment back to the country of purchase for servicing and the shipping in of parts).
ResMed authorised dealers are not authorised to sell ResMed Products over the internet.
Local prices include a premium level of service, offered only by a ResMed accredited outlet.
For equipment purchased over the internet, no manufacturer's warranty, assistance with use, setting up of your device or any ongoing support is available in Australia and New Zealand. Any assistance or technical support you may require will incur fees.
Are you getting what you paid for? Buyers may inadvertently purchase ResMed copy products from unscrupulous online traders. Authentic, high-quality ResMed products with full manufacturer's warranty and service support are available from ResMed accredited outlets only. Find your nearest accredited outlet.
Australian and New Zealand customers enjoy the additional benefits of the sleepvantage member support program. 
https://www.sleepvantage.com.au/membership-benefits.html
Join free today.",https://www.resmed.com.au/knowledge-hub/why-is-buying-resmed-products-overseas-or-online-not-recommended
Payment Methods,What happens if I buy a ResMed product overseas or over the internet and it is defective?,"You will have to deal directly with the seller themselves. Be aware of the following factors.
You have to deal directly with the seller. ResMed Service Centres are located in each region where accredited outlets sell and support ResMed products, and these Service Centres are certified to repair products sold only in those regions.
ResMed’s Global Warranty and Repairs Policy requires equipment to be returned to the region of purchase for a manufacturer's warranty claim. Therefore, any products purchased overseas or over the internet, require the customer to return the device to the country of the seller for repair.
Other factors you should be aware of include:
Some ResMed products feature regional customisations in their specifications to comply with local legislation or to conform to other local conditions.
Patients are encouraged to purchase from their own region with a guaranteed high level of service included, in order to prevent the sale of products without proper patient consultation or explanation prior to purchase.
Medical devices in Australia are regulated by the Therapeutic Goods Administration (TGA) and must be included in the Australian Register of Therapeutic Goods (ARTG) before being made available for supply in Australia.
Devices purchased through a ResMed Accredited partner are listed in the ARTG and have evidence demonstrating that their record of safety, performance and quality is acceptable to the TGA.
Devices purchased overseas or via the internet for use in Australia may be in contravention of the Therapeutic Goods Act and Therapeutic Goods Regulations, and may also be subject to Australian Customs restrictions.",https://www.resmed.com.au/knowledge-hub/what-happens-if-i-buy-a-resmed-product-overseas-or-over-the-internet-and-it-is-defective
Payment Methods,Why is there a cost difference between similar products sold in Australia and the United States?,"The cost of ResMed products can vary across countries and regions of the world due to a number of factors.
The difference in healthcare systems in each country plays a major role in determining product prices within that country. The US government recognises the health consequence of untreated Obstructive Sleep Apnea (OSA), and subsidises OSA therapy. Americans with health insurance may have their entire treatment costs covered. Accordingly, awareness of the condition is high, with product sales levels over 60 times higher than in Australia. As a result, prices in the US are lower because it is a high-volume, low-service environment.
In Australia, treatment for OSA is not fully reimbursed. You may only be entitled to claim part of the costs if your health insurance covers it. Fortunately, awareness of the severity of the condition is growing. ResMed regularly lobbies the government to subsidise OSA treatment, and if you’d like to help raise awareness you can also lobby your Local MP for OSA subsidies. Lower awareness means lower diagnosis rates and lower product sales within Australia, which impacts on cost. However, we are fortunate to have a higher level of service for Australian customers.
However, purchasing the ideal therapy device and mask is only part of what you need to successfully treat your OSA and enhance your health.
Having knowledgeable, trained experts on-hand together with receiving reliable after-sales service, ensures you get the support you need in adapting to treatment and achieving maximum results. Treatment for sleep apnea is not simple and requires ongoing consultation with your GP, specialist or clinically trained equipment provider. It is important that you receive ongoing advice and support to successfully adapt to treatment and start experiencing results.
ResMed’s Australian pricing generally offers you:
Reliable ‘before and after’ sales service (which covers education and awareness, support, mask selection, fittings and adjustments, setting up, and trialling new devices and masks for compatibility).
Additional follow-up consultations to monitor your treatment progress, after-sales service, warranties and repairs.
Access to the sleepvantage™ member support program, designed to support you on your sleep therapy journey.
So when you purchase a ResMed product within Australia, not only are you receiving equipment from a recognised world leading sleep specialist, you’re purchasing real peace of mind too.",https://www.resmed.com.au/knowledge-hub/why-is-there-a-cost-difference-between-similar-products-sold-in-australia-and-the-united-states
Payment Methods,"For Payment Plans, once the initial payment is made, when would the monthly instalments start?","In most cases it would start from the following month. 
If however you would like to nominate a start date within the first month, you can do so. So if you sign up on the 1st and wish to start debiting on your pay date which is the 15th, we can set it up that way, but it has to be within the first month.",https://www.resmed.com.au/knowledge-hub/for-payment-plans-once-the-initial-payment-is-made-when-would-the-monthly-instalments-start
Payment Methods,Why can ResMed’s products sometimes cost more than competitors’?,"ResMed products are designed to last, are user-friendly and engineered for ease-of-use.
Quality is embedded into the culture, systems and testing methods of ResMed, as is a commitment to listen and act on patient feedback to continually improve and enhance products.
We test in much tougher situations than would typically be experienced in a patient’s home. For example, we conduct extensive testing of therapy devices and components to ensure their reliability and endurance beyond a product’s anticipated life-cycle—so you can rest assured your therapy device will deliver quality treatment every night.
Customer evaluation of ResMed products during development is conducted regularly. Feedback from user evaluations, focus groups and market research ensures that ResMed hears the voice of the customer on satisfaction, comfort, mask fit and therapy deliverability. So if it is a ResMed product, you know it has been cleverly engineered, proven, and rigorously tested for durability, reliability, and performance.
ResMed is justifiably proud of the state-of-the-art facilities in Australia, where many of the products are manufactured. A dedicated and technically-skilled workforce uses the highest-quality local and imported parts to produce products worthy of bearing the ResMed name.",https://www.resmed.com.au/knowledge-hub/why-can-resmeds-products-sometimes-cost-more-than-competitors
Payment Methods,Do you offer any discounts for buying packages of CPAP equipment?,"You can choose from our selected package deals here.
Buy a CPAP machine and receive special offers on CPAP masks and accessories. Save with our package deals!
Simply select a ResMed CPAP machine and then add a CPAP mask or a CPAP accessory to save! 
https://shop.resmed.com.au/sleep-apnea/cpap-machines/
Shop now",https://www.resmed.com.au/knowledge-hub/do-you-offer-any-discounts-for-buying-packages-of-cpap-equipment
Payment Methods,"On the rental, trial or interest-free plans, can I change my mask to another if I am not happy with it?","Find out how you can change your mask when already on a plan.
On any of our plans, you will be given the option to change your mask/size when your next shipment is due. For most plans, this is every 12 months.
If you are on a CPAP trial, you can request a new mask until you have found the one that is right for you.",https://www.resmed.com.au/knowledge-hub/on-the-rental-trial-or-interest-free-plans-can-i-change-my-mask-to-another-if-i-am-not-happy-with-it
Payment Methods,Do you rent out your CPAP machines and masks?,"Hire a CPAP machine and mask for as long as you need to Rent a ResMed Airsense 10 AutoSet device with a mask, tube and filter for $35 per week.
When you order online, we will deliver the equipment directly to you. Plus we have special offers available the longer you choose to sign up to rent for.
Ready to Rent? Simply click Order Now then when the product page has loaded select Rent to see all of our 'Rental' plan options:
RESMED AIRSENSE 10 AUTOSET MACHINE & MASK RENTAL PLAN - 
https://shop.resmed.com.au/airsense-10-autoset-rent-hire/
ORDER NOW",https://www.resmed.com.au/knowledge-hub/do-you-rent-out-your-cpap-machines-and-masks
Payment Methods,What kind of payment methods do you accept?,"We offer four payment methods. See here.
Visa, MasterCard, AMEX or PayPal.",https://www.resmed.com.au/knowledge-hub/what-kind-of-payment-methods-do-you-accept
Payment Methods,What are your payment options for my sleep apnea treatment?,"We offer several different payment options. Please select your option here.
We offer convenient ways to buy now or purchase/rent via a payment plan:
When placing an order online, you can choose to pay by 
Visa, MasterCard, AMEX or PayPal
https://shop.resmed.com.au/
Shop Now
Buy now
 - Special discounts are available when you purchase Machine, Masks and Accessories together 
/payment-options
Read More
Rent to buy
 - We offer interest-free payment plans for CPAP machines and masks with ongoing replenishments
/payment-options
Read More
Rent
 - Our CPAP therapy rental plans use the latest ResMed devices and masks 
/payment-options
Read More",https://www.resmed.com.au/knowledge-hub/what-are-your-payment-options-for-my-sleep-apnea-treatment
Shipping & Returns,Can I choose a faster delivery with an express service?,"Yes. Express shipping is available.
Yes. Please select the “EXPRESS” shipping option on the checkout page.",https://www.resmed.com.au/knowledge-hub/can-i-choose-a-faster-delivery-with-an-express-service
Shipping & Returns,Do you ship internationally?,"We only ship within Australia for most products. Other options available.
For International shipping please 
https://www.resmed.com.au/support-service
call us directly
 before you order.",https://www.resmed.com.au/knowledge-hub/do-you-ship-internationally
Shipping & Returns,How do I change my delivery address?,"Contact us to change your delivery address.
We process and pack your order as fast as possible.
Your delivery address can only be changed as long as your order has not been shipped.
To change your delivery address, 
https://www.resmed.com.au/support-service
contact us
.",https://www.resmed.com.au/knowledge-hub/how-do-i-change-my-delivery-address
Shipping & Returns,Will I have to sign for my delivery?,"Yes, in most cases, you will have to sign.
Other than lockers, or where you accept the risk of any loss, you will almost always need to sign.",https://www.resmed.com.au/knowledge-hub/will-i-have-to-sign-for-my-delivery
Shipping & Returns,What if I'm not home when my order arrives?,"A note will be left for you.
The delivery driver will leave a note for you to pick it up at your local post office.",https://www.resmed.com.au/knowledge-hub/what-if-im-not-home-when-my-order-arrives
Shipping & Returns,When do you deliver?,"Find out delivery days here.
Australia Post - During the business day
Express Post - During the business day",https://www.resmed.com.au/knowledge-hub/when-do-you-deliver
Shipping & Returns,Can my order be delivered to a locker or post office?,"Options are available.
These options are available through Australia Post.",https://www.resmed.com.au/knowledge-hub/can-my-order-be-delivered-to-a-locker-or-post-office
Shipping & Returns,Can I have orders delivered to my office address?,"Orders can be delivered to a business address.
Please remember to include the name of the company in the additional address field. Your name, is always automatically added onto the shipping label. Both, billing address and shipping address have to be in the same country.",https://www.resmed.com.au/knowledge-hub/can-i-have-orders-delivered-to-my-office-address
Shipping & Returns,How can I track my order?,"All AusPost parcels have a tracking number.
All tracking numbers are provided by email to you when shipped.
Overseas parcels do not usually have a tracking component available.",https://www.resmed.com.au/knowledge-hub/how-can-i-track-my-order
Shipping & Returns,How will my parcel be shipped?,"We use Australia Post for our deliveries.
Shipping charges are indicated in your order.",https://www.resmed.com.au/knowledge-hub/how-will-my-parcel-be-shipped
Shipping & Returns,How long does delivery take?,"We ship as soon as possible but it may vary depending on what time of day an order is placed, day of the week and stock levels.
We look to ship your order out 
as soon as possible
.
If you place an order before midday it will be sent on the same day, provided that the products you have ordered are in stock. Keep in mind that delivery time can vary depending on where you live.
We use 
https://auspost.com.au/
AusPost
 for all our deliveries.
Once your order has been shipped off you will receive an e-mail containing the tracking number for your order. This will give you a good indication of when you can expect your order to arrive.
If you did not receive a tracking order then please get in contact with one of our friendly staff on 1800 737 633.",https://www.resmed.com.au/knowledge-hub/how-long-does-delivery-take
Shipping & Returns,How much does delivery cost?,"We offer free shipping Australia wide.
Regular Mail - FREE - available for all deliveries - (using AusPost Parcel Post system)
Express Post - $10.00 - available for all deliveries - (using AusPost ExpressPost system)",https://www.resmed.com.au/knowledge-hub/how-much-does-delivery-cost
Shipping & Returns,I forgot to redeem a voucher with my last order.,"Vouchers and codes have to be redeemed during your order process.
After you have ordered we are not able to deduct the voucher for you manually.",https://www.resmed.com.au/knowledge-hub/i-forgot-to-redeem-a-voucher-with-my-last-order
Shipping & Returns,I have received a voucher and redeemed it in an order. What happens to the voucher if I want to return something from this order?,"Discount vouchers and codes cannot be re-issued or be converted into a gift voucher.
Please keep in mind, that some type of vouchers may only be valid for a certain period of time and bound to a minimum turnover. Remaining credit balance can’t be disbursed.",https://www.resmed.com.au/knowledge-hub/i-have-received-a-voucher-and-redeemed-it-in-an-order.-what-happens-to-the-voucher-if-i-want-to-return-something-from-this-order
Shipping & Returns,How can I return my order?,"You can return the items within 30 days.
Simply follow the instructions our 
/returns
How to Return
 page.",https://www.resmed.com.au/knowledge-hub/how-can-i-return-my-order
Shipping & Returns,I am not happy with my product. Am I able to return it?,"Yes, please follow our returns policy here.
If you have purchased from the ResMed online shop, we have a 
https://www.resmed.com.au/returns
Returns Policy
. If you have purchased from an authorised dealer, some products come with a 14 or 30 day money back guaranteed. Please contact your authorised dealer to find out more.",https://www.resmed.com.au/knowledge-hub/i-am-not-happy-with-my-product.-am-i-able-to-return-it
Shipping & Returns,Can I return my mask if its not fitting properly?,"You can return your mask within our new 30 day money back period.
We are sorry to hear you have not found the mask comfortable.
As long as you are within our new 30 day money back period, you will not have any issues in returning this mask to your place of purchase. 
https://www.resmed.com.au/returns
See our returns information if you purchased from the ResMed Online Shop
.",https://www.resmed.com.au/knowledge-hub/can-i-return-my-mask-if-its-not-fitting-properly
Customer Service,Can I receive additional support online for my sleep apnea treatment?,"We want you to succeed on your therapy. We have a number of options to give you the right guidance and support.
https://www.sleepvantage.com.au/membership-benefits.html
Join the sleepvantage™ membership community
 - As well as the support of your own family and friends, the sleepvantage online community is a great source of support and encouragement to help you stay on track with your treatment. By being a sleepvantage member you can:
• Receive members-only warranty benefits on your ResMed products
• Receive special offers
• Stay informed
• Feel supported
https://myair.resmed.com/
Sign up for the free myAir™* online support program
, and receive all the assistance you need to get the most out of your therapy, including:
• Access to your daily therapy data, so you can track your progress
• Tailored coaching and handy tips to make therapy more comfortable for you
• Milestones to help keep you motivated as you work towards a healthier, happier life
https://www.resmed.com.au/store-finder
Contact your Sleep Coach or your ResMed Authorised dealer
 and make an appointment if you are worried about anything regarding your therapy.
*myAir™ is only compatible with AirSense™ 10 and AirCurve™ 10 devices with built-in cellular connectivity. Wireless communication depends on network availability.  ",https://www.resmed.com.au/knowledge-hub/can-i-receive-additional-support-online-for-my-sleep-apnea-treatment
Customer Service,How do I book a phone appointment?,"We provide a free virtual appointment service. You can speak to your regular sleep coach over phone or video. 
Please click 
https://www.resmed.com.au/book-an-appointment
here
 to book your virtual appointment with one of our sleep coaches.",https://www.resmed.com.au/knowledge-hub/how-do-i-book-a-phone-appointment
Customer Service,What is sleepvantage?,"It is an online community providing support and service to help you on your therapy journey.
As well as the support of your own family and friends, the sleepvantage online community is a great source of support and encouragement to help you stay on track with your treatment. By being a sleepvantage members you can:
Extend your warranty - 
https://resmed-anz.secure.force.com/customers?utm_source=svtopcta&utm_campaign=anz-product-registration&utm_medium=svtopcta%3f.html
register your product with us
Recieve special offers
Stay informed
Feel supported
https://www.sleepvantage.com.au/membership-benefits.html
Find out more about our sleepvantage community
.",https://www.resmed.com.au/knowledge-hub/what-is-sleepvantage
Warranty,How long is the ResMed standard manufacturer's warranty?,"Warranty depends on each ResMed product. Here is a list of the warranty information.
You will find the warranty information for each ResMed product below:
**Last updated: 12 April 2022
Receive members-only warranties on your ResMed products when you become a member of sleepvantage and register your products. Register 
https://resmed-anz.secure.force.com/customers
here
.",https://www.resmed.com.au/knowledge-hub/how-long-is-the-resmed-standard-manufacturers-warranty
Customer Service,How can I make an appointment to talk to someone about my sleep?,"You can call our Consumer Care Centre to book an appointment on 1800 737 633.
/store-finder
You can make a quick and easy appointment here.",https://www.resmed.com.au/knowledge-hub/how-can-i-make-an-appointment-to-talk-to-someone-about-my-sleep
Warranty,How do I register my ResMed product with Sleepvantage™?,"
Register your product today to take advantage of a range of exclusive member benefits.
You can register 
//www.sleepvantage.com.au/register
here
.",https://www.resmed.com.au/knowledge-hub/how-do-i-register-my-resmed-product-with-sleepvantage
Warranty,Can I purchase extended warranty on my ResMed products?,"You can purchase your extended warranty here.
Yes. An extended warranty can be purchased for AirSense 10 devices, provided they are still covered by the standard manufacturer's warranty.",https://www.resmed.com.au/knowledge-hub/can-i-purchase-extended-warranty-on-my-resmed-products
Warranty,Are masks covered under warranty?,"All masks have a 3 month warranty.
Your mask can be 
https://www.sleepvantage.com.au/membership-benefits/warranty-extension.html
registered with sleepvantage
 after which you receive an additional 1.5 months, totaling 4.5 months warranty.",https://www.resmed.com.au/knowledge-hub/are-masks-covered-under-warranty
