prompt,completion
Sleep apnea,"[['ResMed Lumis™ 150 VPAP ST-A ventilator', None, 'https://shop.resmed.com.au/resmed-lumis-150-vpap-st-a-ventilator/'], ['ResMed AirFit™ F20 for Her Full Face Mask', '$229.00', 'https://shop.resmed.com.au/resmed-airfit-f20-for-her-full-face-mask/'], ['ResMed AirCurve™ 10 CS PaceWave™ ASV Machine', None, 'https://shop.resmed.com.au/resmed-aircurve-10-cs-pacewave-bi-level-machine/'], ['ResMed AirMini™ N20 Setup Kit (No Mask)', '$75.00', 'https://shop.resmed.com.au/resmed-airmini-n20-setup-kit/'], ['ResMed Elbow Assembly for Quattro CPAP Mask', '$39.00', 'https://shop.resmed.com.au/resmed-elbow-assembly-for-quattro-cpap-mask/'], ['ResMed Gecko Nasal Pad', '$25.00', 'https://shop.resmed.com.au/resmed-gecko-nasal-pad/'], ['ResMed Gecko Nasal Pad (10 pack)', '$199.00', 'https://shop.resmed.com.au/resmed-gecko-nasal-pad-10-pack/'], ['ResMed Inlet Valve and Clip for Quattro', '$9.00', 'https://shop.resmed.com.au/resmed-inlet-valve-and-clip-for-quattro/'], ['ResMed Mask Forehead Support Dial', '$5.90', 'https://shop.resmed.com.au/resmed-mask-forehead-support-dial/'], ['ResMed Mirage FX For Her Headgear', '$85.00', 'https://shop.resmed.com.au/resmed-mirage-fx-for-her-headgear/'], ['ResMed AirFit™ P10 for AirMini™ Mask Pack', '$310.00', 'https://shop.resmed.com.au/resmed-airfit-p10-for-airmini-mask-pack/'], ['ResMed Mirage FX Frame', '$49.00', 'https://shop.resmed.com.au/resmed-mirage-fx-frame/']]"
Sleep apnea,"[['ResMed Swift™ FX Mask Soft Wraps', '$20.00', 'https://shop.resmed.com.au/resmed-swift-fx-soft-wraps/'], ['ResMed Quattro™ FX Mask Cushion', '$79.00', 'https://shop.resmed.com.au/resmed-quattro-fx-cushion/'], ['ResMed Mirage™ FX Mask Cushion', '$89.00', 'https://shop.resmed.com.au/mirage-fx-mask-cushion/'], ['ResMed AirFit™ N20 Mask Headgear', '$65.00', 'https://shop.resmed.com.au/resmed-airfit-n20-mask-headgear/'], ['ResMed HumidX™ (3 Pack)', '$35.00', 'https://shop.resmed.com.au/resmed-humidx-3-pack/'], ['ResMed Swift™ FX Mask Cushion', '$89.00', 'https://shop.resmed.com.au/resmed-swift-fx-pillow-cushions/'], ['ResMed Quattro™ FX Mask Headgear', '$79.00', 'https://shop.resmed.com.au/resmed-quattro-fx-mask-headgear/'], ['ResMed Mirage™ FX Mask Elbow', '$29.00', 'https://shop.resmed.com.au/mirage-fx-elbow/'], ['ResMed AirFit™ N20 Mask Magnet Clips (2 Pack)', '$10.00', 'https://shop.resmed.com.au/resmed-airfit-n20-mask-magnet-clips-2-pack/'], ['ResMed Swift™ FX for Her Mask Headgear Assembly', '$110.00', 'https://shop.resmed.com.au/resmed-swift-fx-for-her-headgear-assembly/'], ['ResMed Swift™ FX Bella Mask Headgear Assembly', '$110.00', 'https://shop.resmed.com.au/resmed-swift-fx-bella-headgear-assembly/'], ['ResMed Swift™ FX Mask Backstrap', '$40.00', 'https://shop.resmed.com.au/resmed-swift-fx-backstrap/']]"
Sleep apnea,"[['ResMed Swift™ FX Mask Headgear', '$110.00', 'https://shop.resmed.com.au/resmed-swift-fx-headgear/'], ['ResMed Quattro™ Mask Elbow', '$15.00', 'https://shop.resmed.com.au/resmed-quattro-elbow/'], ['ResMed Mirage FX™ Mask Headgear', '$85.00', 'https://shop.resmed.com.au/mirage-fx-headgear/'], ['ResMed AirFit™ P10 for Her Mask Headgear', '$60.00', 'https://shop.resmed.com.au/resmed-airfit-p10-mask-headgear-for-her/'], ['ResMed Lumis™ 100 VPAP S ventilator', None, 'https://shop.resmed.com.au/resmed-lumis-100-vpap-s-ventilator/'], ['ResMed H5i™ Humidifier Chamber', '$105.00', 'https://shop.resmed.com.au/resmed-h5i-humidifier-chamber/'], ['ResMed AirFit™ N20 Classic Mask', '$195.00', 'https://shop.resmed.com.au/resmed-airfit-n20-classic/'], ['ResMed Quattro™ Mask Ports Cap (2 Pack)', '$6.90', 'https://shop.resmed.com.au/resmed-quattro-ports-cap-2-pack/'], ['ResMed Micro and Quattro™ mask headgear without clips', '$65.00', 'https://shop.resmed.com.au/micro-and-quattro-headgear-without-clips/'], ['ResMed AirFit™ P10 Mask Headgear', '$60.00', 'https://shop.resmed.com.au/resmed-airfit-p10-mask-headgear/'], ['ResMed Lumis™ 150 VPAP ST ventilator', None, 'https://shop.resmed.com.au/resmed-lumis-150-vpap-st-ventilator/'], ['ResMed AirFit™ P10 Mask Cushion', '$70.00', 'https://shop.resmed.com.au/resmed-airfit-p10-pillow-insert/']]"
Sleep apnea,"[['ResMed AirSense™ 10 for Her Travel Bag', '$49.95', 'https://shop.resmed.com.au/airsense-10-travel-bag/'], ['ResMed AirFit™ N30 QuietAir™ Frame', '$135.00', 'https://shop.resmed.com.au/resmed-airfit-n30-quietair-frame/'], ['ResMed AirFit™ P30i/N30i Frame', '$159.00', 'https://shop.resmed.com.au/resmed-airfit-30i-frame/'], ['ResMed AirFit™ F30 Mask Cushion', '$95.00', 'https://shop.resmed.com.au/resmed-airfit-f30-full-face-cushion/'], ['ResMed AirFit™ N20 Nasal Mask', '$209.00', 'https://shop.resmed.com.au/resmed-airfit-n20-nasal-mask/'], ['ResMed AirTouch™ F20 Starter Kit -  Mask System and 2 Foam Cushions', '$199.00', 'https://shop.resmed.com.au/resmed-airtouch-f20-starter-kit-mask-system-and-2-foam-cushions/'], ['ResMed AirFit™ N30i Nasal Cradle Mask', '$229.00', 'https://shop.resmed.com.au/resmed-airfit-n30i-nasal-cradle-mask/'], ['ResMed AirFit™ P30i Pillows Mask', '$229.00', 'https://shop.resmed.com.au/resmed-airfit-p30i-pillows-mask/'], ['ResMed AirFit™ N20 Mask Cushion', '$69.00', 'https://shop.resmed.com.au/resmed-airfit-n20-mask-cushion/'], ['ResMed HumidX™ Plus (6 Pack)', '$59.00', 'https://shop.resmed.com.au/resmed-humidx-plus-6-pack/'], ['ResMed AirMini™ Automatic CPAP Machine', '$1,565.00', 'https://shop.resmed.com.au/ResMed-AirMini-Smallest-CPAP-AutoSet-Device/'], ['ResMed AirFit™ N30 Mask Headgear', '$60.00', 'https://shop.resmed.com.au/resmed-airfit-n30-mask-headgear/']]"
Sleep apnea,"[['ResMed AirFit™ N10 for Her Mask Headgear', '$85.00', 'https://shop.resmed.com.au/airfit-n10-for-her-headgear/'], ['ResMed AirFit™ N10 Mask Cushion', '$89.00', 'https://shop.resmed.com.au/resmed-airfit-n10-cushion/'], ['ResMed AirFit™ F20 Mask Soft Sleeves', '$15.00', 'https://shop.resmed.com.au/airfit-f20-mask-soft-sleeves/'], ['ResMed AirFit™ F20 Mask Frame', '$95.00', 'https://shop.resmed.com.au/resmed-airfit-f20-mask-frame/'], ['ResMed AirFit™ F20 and AirFit™ F30 Mask Standard Elbow', '$50.00', 'https://shop.resmed.com.au/airfit-f20-mask-elbow/'], ['ResMed AirFit™ F20 Mask Cushion', '$75.00', 'https://shop.resmed.com.au/resmed-airfit-f20-mask-cushion/'], ['ResMed AirFit™ F20/ F30/ F30i Mask Headgear Clips', '$10.00', 'https://shop.resmed.com.au/airfit-f20-mask-headgear-clips/'], ['ResMed AirFit™ F20 Mask Headgear', '$69.00', 'https://shop.resmed.com.au/airfit-f20-mask-headgear/'], ['ResMed AirFit™ F20 for Her Mask Headgear', '$69.00', 'https://shop.resmed.com.au/airfit-f20-for-her-headgear/'], ['ResMed AirFit™ F20 for Her Mask Frame', '$95.00', 'https://shop.resmed.com.au/airfit-f20-for-her-mask-frame/'], ['ResMed AirFit™ F10 Mask Frame', '$80.00', 'https://shop.resmed.com.au/airfit-f10-mask-frame/'], ['ResMed AirFit™ F10 Mask Headgear', '$80.00', 'https://shop.resmed.com.au/airfit-f10-headgear/']]"
Sleep apnea,"[['ResMed S9™ and AirSense™ 10 Hypoallergenic Filters (2 Pack)', '$7.49', 'https://shop.resmed.com.au/resmed-s9-and-airsense-10-hypoallergenic-filters-2-pack/'], ['ResMed S8 Hypoallergenic Filters (12 Pack)', '$34.90', 'https://shop.resmed.com.au/resmed-s8-hypoallergenic-filters-12-pack/'], ['ResMed RPSII Power Supply Unit Adapter', '$35.00', 'https://shop.resmed.com.au/resmed-rpsii-power-supply-unit-adapter/'], ['ResMed RPSII Carry Bag', '$60.00', 'https://shop.resmed.com.au/resmed-rpsii-carry-bag/'], ['ResScan™ Version 6.1 Software', '$29.99', 'https://shop.resmed.com.au/resscan-version-6-0-software/'], ['ResMed Power Station II Battery', '$469.00', 'https://shop.resmed.com.au/resmed-remote-power-station-ii-battery/'], ['ResMed PSU Adapter for AirSense™ 10', '$31.00', 'https://shop.resmed.com.au/resmed-psu-adapter-for-airsense-10/'], ['ResMed Hypoallergenic Filters (12 Pack)', '$34.90', 'https://shop.resmed.com.au/resmed-hypoallergenic-filters-12-pack/'], ['ResMed H5i™ Flip Lid Seal', '$19.95', 'https://shop.resmed.com.au/resmed-h5i-flip-lid-seal/'], ['ResMed H5i™ Flip Lid Assembly', '$59.95', 'https://shop.resmed.com.au/resmed-h5i-flip-lid-assembly/'], ['ResMed Filters S8 (12 pack)', '$29.90', 'https://shop.resmed.com.au/resmed-filters-s8-12-pack/'], ['Filters for ResMed S9™ and AirSense™ 10 (12 Pack)', '$19.90', 'https://shop.resmed.com.au/filters-for-resmed-s9-and-airsense-10-12-pack/']]"
Sleep tests and trackers,"[['myNight™ - snore detection app', None, 'https://shop.resmed.com.au/mynight-snore-detection-app/']]"
Sleep apnea,"[['ResMed AirFit™ N20 Classic Mask Headgear', '$75.00', 'https://shop.resmed.com.au/resmed-airfit-n20-classic-headgear/'], ['ResMed AirFit™ P10 Pillows Mask', '$209.00', 'https://shop.resmed.com.au/resmed-airfit-p10-pillows-mask/'], ['ResMed CPAP Wipes for Travel (14 Pack)', '$8.80', 'https://shop.resmed.com.au/resmed-cpap-wipes-for-travel-14-pack/'], ['ResMed Swift™ FX Mask Short Tubing Assembly (10 Pack)', '$620.00', 'https://shop.resmed.com.au/resmed-swift-fx-short-tubing-assembly-10-pack/'], ['ResMed Swift™ FX Mask Short Tubing Assembly', '$69.00', 'https://shop.resmed.com.au/resmed-swift-fx-short-tubing-assembly/'], ['ResMed Standard Tubing', '$18.00', 'https://shop.resmed.com.au/resmed-standard-tubing/'], ['ResMed SlimLine™ Tubing Wrap', '$49.95', 'https://shop.resmed.com.au/resmed-slimline-tubing-wrap/'], ['ResMed SlimLine™ Tubing fits S9™ CPAP Machines', '$21.00', 'https://shop.resmed.com.au/resmed-slimline-tubing-fits-s9-cpap-machines/'], ['ResMed Side Port Oxygen Connector', '$16.00', 'https://shop.resmed.com.au/resmed-side-port-oxygen-connector/'], ['ResMed S9™ Travel Bag', '$39.95', 'https://shop.resmed.com.au/resmed-s9-travel-bag/'], ['ResMed S9™ Power Supply Unit 90W', '$59.95', 'https://shop.resmed.com.au/resmed-s9-power-supply-unit-90w/'], ['ResMed S9™ Power Supply Unit 30W', '$29.95', 'https://shop.resmed.com.au/resmed-s9-power-supply-unit-30w/']]"
Bestsellers,"[['ResMed AirSense™ 10 Autoset™ Automatic CPAP Machine', '$1,815.00', 'https://shop.resmed.com.au/resmed-airsense-10-autoset-auto-machine/'], ['AirSense™ 10 Total Care Subscription', None, 'https://shop.resmed.com.au/airsense-10-total-care-subscription/'], ['AirMini Total Care Subscription', None, 'https://shop.resmed.com.au/airmini-total-care-subscription/'], ['SnoreRx ®', '$99.00', 'https://shop.resmed.com.au/snore-rx/'], ['Smart Care - AirTouch Mask Subscription', None, 'https://shop.resmed.com.au/smart-care-airtouch/'], ['ResMed HumidAir™ Standard Tub for Air10™ & Lumis™', '$85.00', 'https://shop.resmed.com.au/resmed-humidair-standard-tub-for-air10-lumis/'], ['ResMed AirFit™ F30i Full Face Mask', '$249.00', 'https://shop.resmed.com.au/resmed-airfit-f30i-full-face-mask/'], ['ResMed AirFit™ P10 Pillows Mask', '$209.00', 'https://shop.resmed.com.au/resmed-airfit-p10-pillows-mask/'], ['ResMed ClimateLineAir™ Heated Tubing for AirSense™ 10', '$69.00', 'https://shop.resmed.com.au/resmed-climateline-tubing-for-airsense-10/'], ['ResMed AirMini™ Filters (2 Pack)', '$5.90', 'https://shop.resmed.com.au/resmed-airmini-filters-2-pack/'], ['ResMed AirFit™ N20 Nasal Mask', '$209.00', 'https://shop.resmed.com.au/resmed-airfit-n20-nasal-mask/'], ['ResMed AirFit™ N30i Nasal Cradle Mask', '$229.00', 'https://shop.resmed.com.au/resmed-airfit-n30i-nasal-cradle-mask/']]"
Sleep health,"[['CPAP Pillow for Side Sleepers', '$49.95', 'https://shop.resmed.com.au/cpap-pillow-for-side-sleepers/'], ['Swannies Night Glasses - Classic Black', '$79.00', 'https://shop.resmed.com.au/swannies-night-glasses/'], ['Swannies Night Glasses - Tortoise Shell', '$79.00', 'https://shop.resmed.com.au/swannies-night-glasses-tortoise-shell/'], ['BLKBLULHT ScreenTime Computer Glasses', '$129.00', 'https://shop.resmed.com.au/blkblulht-screentime-computer-glasses/'], ['Re-timer Light Therapy Glasses', '$299.00', 'https://shop.resmed.com.au/re-timer-light-therapy-glasses/']]"
Sleep health,"[['Silk Eye Mask', '$55.00', 'https://shop.resmed.com.au/silk-eye-mask/'], ['Contoured Eye Mask', '$20.00', 'https://shop.resmed.com.au/contoured-eye-mask/'], ['Neptune Gravity Blanket', '$239.00 - $259.00', 'https://shop.resmed.com.au/neptune-blanket'], ['Sweet Dreams Light Bulb', '$29.00', 'https://shop.resmed.com.au/sweet-dreams-light-bulb/'], ['Blue Light Blocking Glasses Kids NightFall', '$69.00', 'https://shop.resmed.com.au/blkblulht-glasses-kids-nightfall/'], ['Dreampad™', '$189.00', 'https://shop.resmed.com.au/dreampad-pillow/'], ['Red LED bulbs x2', '$20.00', 'https://shop.resmed.com.au/red-led-bulbs-x2/'], ['BLKBLULHT Glasses Style', '$69.00', 'https://shop.resmed.com.au/blkblulht-glasses-style/'], ['Red Light Torch', '$30.00', 'https://shop.resmed.com.au/red-light-torch/'], ['Reflux Relief Pillow', '$350.00', 'https://shop.resmed.com.au/reflux-relief-pillow/'], ['Shoulder Relief Pillow', '$350.00', 'https://shop.resmed.com.au/shoulder-relief-pillow/'], ['Sound Machine - Black', '$89.00', 'https://shop.resmed.com.au/sound-machine-black/']]"
Sleep apnea,"[['ResMed Quattro™ Air Mask Headgear', '$80.00', 'https://shop.resmed.com.au/resmed-quattro-air-mask-headgear/'], ['ResMed Quattro™ Air Mask Headgear for Her', '$80.00', 'https://shop.resmed.com.au/resmed-quattro-air-headgear-for-her/'], ['ResMed Quattro™ Air or AirFit™ F10 Mask Cushion', '$95.00', 'https://shop.resmed.com.au/resmed-quattro-air-or-airfit-f10-cushion/'], ['ResMed Quattro™ Air Mask Frame', '$80.00', 'https://shop.resmed.com.au/resmed-quattro-air-mask-frame/'], ['ResMed Quattro™ Air or AirFit™ F10 Mask Elbow', '$45.00', 'https://shop.resmed.com.au/resmed-quattro-air-or-f10-mask-elbow/'], ['ResMed Quattro™ Mask Cushion with Clip', '$95.00', 'https://shop.resmed.com.au/resmed-quattro-cushion-with-clip/'], ['REMZzz Nasal Padded Liners for ResMed and Fisher Paykel Masks', '$50.00', 'https://shop.resmed.com.au/remzzz-nasal-padded-liners-for-resmed-and-fisher-paykel-masks/'], ['REMZzz Full Face Padded Liners for ResMed and Philips Masks', '$50.00', 'https://shop.resmed.com.au/remzzz-full-face-padded-liners-for-resmed-and-philips-masks/'], ['REMZzz Nasal Padded Liners for Philips Masks', '$50.00', 'https://shop.resmed.com.au/remzzz-nasal-padded-liners-for-philips-masks/'], ['REMZzz Full Face Padded Liners for Fisher and Paykel Masks', '$50.00', 'https://shop.resmed.com.au/remzzz-full-face-padded-liners-for-fisher-and-paykel-masks/']]"
Sleep apnea,"[['ResMed Mirage™ FX Nasal Mask For Her', '$219.00', 'https://shop.resmed.com.au/resmed-mirage-fx-nasal-mask-for-her/'], ['ResMed Mirage Quattro™ Full Face Mask', '$249.00', 'https://shop.resmed.com.au/resmed-mirage-quattro-full-face-cpap-mask/'], ['ResMed Mirage™ FX Nasal Mask', '$219.00', 'https://shop.resmed.com.au/resmed-mirage-fx-nasal-mask/'], ['ResMed Mirage™ Micro and Ultra Mirage™ Nasal Mask Swivel', '$15.00', 'https://shop.resmed.com.au/resmed-mirage-micro-and-ultra-mirage-nasal-cpap-mask-swivel/'], ['ResMed Quattro™ Air Full Face Mask', '$209.00', 'https://shop.resmed.com.au/resmed-quattro-air-full-face-mask/'], ['ResMed Quattro™ Air Full Face Mask for Her', '$209.00', 'https://shop.resmed.com.au/resmed-quattro-air-full-face-cpap-mask/'], ['ResMed Mirage Quattro™ Mask Forehead Support', '$19.90', 'https://shop.resmed.com.au/resmed-mirage-quattro-forehead-support/'], ['ResMed Pixi™ Paediatric Mask Headgear', '$89.00', 'https://shop.resmed.com.au/resmed-pixi-paediatric-mask-headgear/'], ['ResMed Pixi™ Paediatric Mask Cushion', '$64.50', 'https://shop.resmed.com.au/resmed-pixi-paediatric-cushion/'], ['ResMed Pixi™ Paediatric Mask', '$225.00', 'https://shop.resmed.com.au/resmed-pixi-paediatric-mask/'], ['ResMed Mirage Quattro™ Mask Cushion Clip', '$6.00', 'https://shop.resmed.com.au/resmed-mirage-quattro-cushion-clip/'], ['ResMed Mirage Quattro™ Mask Frame', '$76.50', 'https://shop.resmed.com.au/resmed-mirage-quattro-mask-frame/']]"
Sleep apnea,"[['ResMed AirSense™ 10 Autoset™ Automatic CPAP Machine', '$1,815.00', 'https://shop.resmed.com.au/resmed-airsense-10-autoset-auto-machine/'], ['SnoreRx ®', '$99.00', 'https://shop.resmed.com.au/snore-rx/'], ['BongoRx Starter Kit', '$279.00', 'https://shop.resmed.com.au/bongorx-starter-kit/'], ['OptiPillows Starter Kit', '$170.00', 'https://shop.resmed.com.au/optipillows-starter-kit/'], ['ResMed AirSense™ 10, AirCurve™ 10 and Lumis™ 90W Power Supply Unit', '$74.95', 'https://shop.resmed.com.au/resmed-airsense--10--aircurve--10-and-lumis--90w-power-supply-unit/'], ['ResMed HumidAir™ Standard Tub for Air10™ & Lumis™', '$85.00', 'https://shop.resmed.com.au/resmed-humidair-standard-tub-for-air10-lumis/'], ['ResMed Standard Tubing Grey  (Cuffed - 2m)', '$25.00', 'https://shop.resmed.com.au/resmed-standard-tubing-grey-cuffed-2m/'], ['ResMed AirFit™ 30i QuietAir™ Vent', '$12.95', 'https://shop.resmed.com.au/resmed-airfit-30i-quietair-vent/'], ['ResMed AirMini Tubing', '$20.00', 'https://shop.resmed.com.au/resmed-airmini-tubing/'], ['BongoRx Replenishment Kit', '$429.00', 'https://shop.resmed.com.au/bongorx-replenishment-kit/'], ['ResMed Tubing Wrap', '$49.95', 'https://shop.resmed.com.au/resmed-tubing-wrap/'], ['ResMed N30 Connector for AirMini™', '$80.00', 'https://shop.resmed.com.au/resmed-n30-connector-for-airmini/']]"
Snoring,"[['SnoreRx ®', '$99.00', 'https://shop.resmed.com.au/snore-rx/'], ['BongoRx Starter Kit', '$279.00', 'https://shop.resmed.com.au/bongorx-starter-kit/'], ['OptiPillows Starter Kit', '$170.00', 'https://shop.resmed.com.au/optipillows-starter-kit/'], ['Smart Nora', '$379.00', 'https://shop.resmed.com.au/smart-nora/'], ['BongoRx Replenishment Kit', '$429.00', 'https://shop.resmed.com.au/bongorx-replenishment-kit/'], ['ResMed Chin Strap', '$17.00', 'https://shop.resmed.com.au/resmed-chin-strap/'], ['NightShift Active Sleep Repositioner and Recorder', '$484.00', 'https://shop.resmed.com.au/nightshift-active-sleep-repositioner-and-recorder/'], ['NightShift Active Sleep Repositioner Neck Strap', '$46.50', 'https://shop.resmed.com.au/nightshift-active-sleep-repositioner-neck-strap/'], ['Seatec Chin and Mouth Strap', '$30.00', 'https://shop.resmed.com.au/seatec-chin-and-mouth-strap/'], ['Seatec SleepTight Chinstrap', '$30.00', 'https://shop.resmed.com.au/seatec-sleeptight-chinstrap/']]"
